announcement_date,vendor,processor_name,qubits,modality,physical_status,source_url,year,month
2016-05,IBM,QX2,5,Superconducting,experimentally_demonstrated,https://quantum.ibm.com,2016,5
2016-08,Rigetti,8-Qubit,8,Superconducting,experimentally_demonstrated,https://rigetti.com,2016,8
2017-05,IBM,QX4,16,Superconducting,experimentally_demonstrated,https://quantum.ibm.com,2017,5
2017-11,IBM,50-Qubit,50,Superconducting,experimentally_demonstrated,https://newsroom.ibm.com,2017,11
2018-03,Google,Bristlecone,72,Superconducting,experimentally_demonstrated,https://research.google,2018,3
2019-10,Google,Sycamore,53,Superconducting,experimentally_demonstrated,https://doi.org/10.1038/s41586-019-1666-5,2019,10
2020-09,IBM,Falcon,27,Superconducting,commercially_available,https://quantum.ibm.com,2020,9
2020-11,IBM,Hummingbird,65,Superconducting,commercially_available,https://quantum.ibm.com,2020,11
2021-11,IBM,Eagle,127,Superconducting,commercially_available,https://newsroom.ibm.com,2021,11
2022-11,IBM,Osprey,433,Superconducting,commercially_available,https://newsroom.ibm.com,2022,11
2023-03,Quantinuum,H1-1,20,Trapped-Ion,commercially_available,https://quantinuum.com,2023,3
2023-10,Atom Computing,AC1000,1200,Neutral Atom,commercially_available,https://atom-computing.com,2023,10
2023-12,IBM,Condor,1121,Superconducting,commercially_available,https://newsroom.ibm.com,2023,12
2024-04,Quantinuum,H2-1,56,Trapped-Ion,commercially_available,https://quantinuum.com,2024,4
2024-12,IBM,Heron r2/r3,156,Superconducting,commercially_available,https://quantum.ibm.com,2024,12
2024-12,Google,Willow,105,Superconducting,announced_benchmarking,https://quantumai.google,2024,12
2024-12,Rigetti,Ankaa-3,84,Superconducting,commercially_available,https://rigetti.com,2024,12
2025-09,IBM,Nighthawk,120,Superconducting,commercially_available,https://quantum.ibm.com,2025,9
2025-10,Quantinuum,H5-Series,1200,Trapped-Ion,projected_roadmap,https://quantinuum.com,2025,10
2026-02,Atom Computing,2048-Atom,2048,Neutral Atom,projected_roadmap,https://atom-computing.com,2026,2
